date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:49:43	10928/10928	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20May%202025%2020:49:43%20GMT	https://ndceg.com/odeysysportal/login/loginForm	C:/Users/muham/OneDrive/Desktop/NDC/ndceg.com/odeysysportal/login/loginForm.html	(from )
20:49:44	79/79	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20May%202025%2020:49:43%20GMT	https://ndceg.com/robots.txt		(from )
20:49:44	501/501	---MCZ	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202025%2020:38:30%20GMT	https://ndceg.com/odeysysportal/static/css/integrated.css	C:/Users/muham/OneDrive/Desktop/NDC/ndceg.com/odeysysportal/static/css/integrated.css	(from https://ndceg.com/odeysysportal/login/loginForm)
20:49:44	106522/106522	---MCZ	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202025%2020:38:30%20GMT	https://ndceg.com/odeysysportal/static/css/main.css	C:/Users/muham/OneDrive/Desktop/NDC/ndceg.com/odeysysportal/static/css/main.css	(from https://ndceg.com/odeysysportal/login/loginForm)
20:49:44	40015/40015	---MCZ	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202025%2020:38:30%20GMT	https://ndceg.com/odeysysportal/static/css/company.css	C:/Users/muham/OneDrive/Desktop/NDC/ndceg.com/odeysysportal/static/css/company.css	(from https://ndceg.com/odeysysportal/login/loginForm)
20:49:45	26227/26227	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cee-6673%22	https://cdnjs.cloudflare.com/ajax/libs/Detect.js/2.2.2/detect.min.js	C:/Users/muham/OneDrive/Desktop/NDC/cdnjs.cloudflare.com/ajax/libs/Detect.js/2.2.2/detect.min.js	(from https://ndceg.com/odeysysportal/login/loginForm)
20:49:45	48316/48316	---M-Z	200	added ('OK')	application/javascript	etag:%2261182885-40eb%22	https://cdnjs.cloudflare.com/ajax/libs/crypto-js/4.1.1/crypto-js.min.js	C:/Users/muham/OneDrive/Desktop/NDC/cdnjs.cloudflare.com/ajax/libs/crypto-js/4.1.1/crypto-js.min.js	(from https://ndceg.com/odeysysportal/login/loginForm)
20:49:45	18952/18952	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Apr%202025%2020:38:32%20GMT	https://ndceg.com/odeysysportal/static/images/logo-new.png	C:/Users/muham/OneDrive/Desktop/NDC/ndceg.com/odeysysportal/static/images/logo-new.png	(from https://ndceg.com/odeysysportal/login/loginForm)
20:49:46	70540/70540	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Apr%202025%2020:38:32%20GMT	https://ndceg.com/odeysysportal/static/images/login.png	C:/Users/muham/OneDrive/Desktop/NDC/ndceg.com/odeysysportal/static/images/login.png	(from https://ndceg.com/odeysysportal/login/loginForm)
20:49:47	13445/13445	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20May%202025%2020:49:47%20GMT	https://ndceg.com/odeysysportal/login/contactUs	C:/Users/muham/OneDrive/Desktop/NDC/ndceg.com/odeysysportal/login/contactUs.html	(from https://ndceg.com/odeysysportal/login/loginForm)
20:49:47	969322/969322	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20May%202025%2020:49:47%20GMT	https://ndceg.com/odeysysportal/login/registerForm	C:/Users/muham/OneDrive/Desktop/NDC/ndceg.com/odeysysportal/login/registerForm.html	(from https://ndceg.com/odeysysportal/login/loginForm)
20:49:47	673/673	---M--	200	added ('OK')	image/gif	date:Thu,%2017%20Apr%202025%2020:38:32%20GMT	https://ndceg.com/odeysysportal/static/images/send.gif	C:/Users/muham/OneDrive/Desktop/NDC/ndceg.com/odeysysportal/static/images/send.gif	(from https://ndceg.com/odeysysportal/login/loginForm)
20:49:47	1775/1775	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2017%20Apr%202025%2020:38:32%20GMT	https://ndceg.com/odeysysportal/static/js/integrated.js	C:/Users/muham/OneDrive/Desktop/NDC/ndceg.com/odeysysportal/static/js/integrated.js	(from https://ndceg.com/odeysysportal/login/loginForm)
20:49:48	23076/23076	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2017%20Apr%202025%2020:38:32%20GMT	https://ndceg.com/odeysysportal/static/js/company.js	C:/Users/muham/OneDrive/Desktop/NDC/ndceg.com/odeysysportal/static/js/company.js	(from https://ndceg.com/odeysysportal/login/loginForm)
20:49:48	11466/11466	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2017%20Apr%202025%2020:38:32%20GMT	https://ndceg.com/odeysysportal/static/js/login.js	C:/Users/muham/OneDrive/Desktop/NDC/ndceg.com/odeysysportal/static/js/login.js	(from https://ndceg.com/odeysysportal/login/loginForm)
20:49:49	786/786	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20May%202025%2020:49:48%20GMT	https://sealserver.trustwave.com/seal.js?code=04bee9f0c1514e67839da32078eecbc2	C:/Users/muham/OneDrive/Desktop/NDC/sealserver.trustwave.com/seal37a8.js	(from https://ndceg.com/odeysysportal/login/loginForm)
20:49:49	38285/38285	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2017%20Apr%202025%2020:38:32%20GMT	https://ndceg.com/odeysysportal/static/js/fingerprint-v4.js	C:/Users/muham/OneDrive/Desktop/NDC/ndceg.com/odeysysportal/static/js/fingerprint-v4.js	(from https://ndceg.com/odeysysportal/login/loginForm)
20:49:49	146553/146553	---MCZ	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202025%2020:38:30%20GMT	https://ndceg.com/odeysysportal/static/css/vendor/bootstrap.css	C:/Users/muham/OneDrive/Desktop/NDC/ndceg.com/odeysysportal/static/css/vendor/bootstrap.css	(from https://ndceg.com/odeysysportal/static/css/integrated.css)
20:49:49	30774/30774	---MCZ	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202025%2020:38:30%20GMT	https://ndceg.com/odeysysportal/static/css/vendor/jquery-ui.min.css	C:/Users/muham/OneDrive/Desktop/NDC/ndceg.com/odeysysportal/static/css/vendor/jquery-ui.min.css	(from https://ndceg.com/odeysysportal/static/css/integrated.css)
